text,reply,retweet,like,view,author_id,created_at,search_keyword,search_query
"씹창났다는거
Ten windows.이러고
시미베님부르는건
쉼비님! 쉼비님!
아제발그만웃겨 유튜브님순수체급장난없네진짜",1,69,500,11415,@choetail27557,2025-11-19T13:08:50.000Z,Windows 컨테이너 이해,"(""Windows 컨테이너 이해"" OR ""Windows"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"아니 이런 흥미로운 글이 ㅋㅋ 이 글은 맥북에 대한 강한 추천글.. 개발자 대상 시각이니까 개인취향껏 들어주시길..

나는 개발인생에서 Windows, macOS 다 쓰면서 먹고 살고 집도 사고 차도 사고 주식도 사고 햄버거도 사먹고(응?) 잘먹고 잘 살고 있다.

종종 주변 대학생분들, 개발자를 하려는",5,73,200,76114,@lucas_flatwhite,2025-10-31T03:20:05.000Z,Windows 컨테이너 이해,"(""Windows 컨테이너 이해"" OR ""Windows"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"learn.microsoft.com/ko-kr/answers/
…

안뜨시는분들께 . . .",0,62,35,19155,@music_in_wdld,2025-10-13T13:28:36.000Z,Windows 컨테이너 이해,"(""Windows 컨테이너 이해"" OR ""Windows"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"윈도우 10 쓰고 있다면 오늘 당장 해야하는 것!!!!!!!!!!!!!

- 10월 14일에 윈도우 10 업데이트 지원 종료
- 근데 MS가 이례적으로 '신청자에 한해서' 보안 업데이트를 1년 무료 연장해준다고

1. 설정 앱 > 업데이트 및 보안 > Windows 업데이트에 진입

2. 업데이트 상태 바로 밑에 지원 종료",10,7167,6035,1409209,@yozm_it,2025-10-13T09:07:05.000Z,Windows 컨테이너 이해,"(""Windows 컨테이너 이해"" OR ""Windows"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"Claude 개발자 플랫폼, 이번에 공개된 확장된 도구 활용 기능이 크게 다가오네요.

AI 에이전트가 수백, 수천 개의 도구를 다루려면 새로운 접근이 필요해요. 기존 방식은 모든 도구 정의를 미리 로드하면서 작업 전에 50,000개 이상의 토큰을 소모했거든요. Anthropic은 이 문제를 해결할 세 가지",2,47,111,17734,@lucas_flatwhite,2025-11-25T01:03:36.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
Claude 앱 안에선 대화 길이 제한이 사실상 없어졌다고,3,26,79,8948,@hyunbinseo97,2025-11-24T22:30:52.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"저의 자체엔진 에디터를 검수하며 만들기 시간이 없어 유기하다가 ""claude를 이용해서 자체 mcp 기능을 만들어서 스스로 개발하고 테스트하며 보완까지 해주는건 어떨까?"" 라는 생각으로 만들어봤는데 꽤 나쁘지 않습니다!

현재 시연중인 영상은 claude가 스스로 만든 탄막 피하는 게임데모입니다.",3,15,41,3846,@eftdjmr,2025-11-24T16:05:39.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
" 고급 모델 패스 출시!

Gemini / Claude 등 고급 모델을 기간 동안 300회 듬뿍 이용할 수 있는 패스가 드디어 등장했습니다!

 12/2 오전 9시까지 블프 기간에만 구매 가능해요 

고급 모델을 더 저렴하게, 넉넉하게 !!",1,31,24,4786,@Caveduck_kr,2025-11-24T09:28:43.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
" 당신이 대화하는 건 '사람'이 아니예요

안드레 카파시의 이 메시지는 정말 와닿네요. 우리가 지금 쓰고 있는 ChatGPT, Claude, Grok 같은 LLM들은 사실 우리가 지금까지 한 번도 만나본 적 없는 종류의 지능이에요.

동물 지능은 수억 년간 생존과 번식 압력 속에서 진화했어요. 자기보존, 번식,",3,55,136,17553,@lucas_flatwhite,2025-11-22T01:38:07.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
"Perplexity / Claude 싹다 박살났다.. 퍼플렉시티 lab 15분 돌리는거보다 gemini 3.0 pro 15초돌리는게 성능이 더 좋다.

구멍가게들은 오늘자로 서비스 종료다",3,188,473,48672,@coffeecanport,2025-11-19T15:38:00.000Z,Claude Code 지원,"(""Claude Code 지원"" OR ""Claude"") lang:ko -filter:retweets min_retweets:10 since:2024-11-26 until:2025-11-26 -아이돌 -포카 -양도 -나눔 -rt -알티 -직캠 -팬싸 -콘서트 -굿즈 -앨범 -컴백 -최애 -덕질 -야구 -축구 -KBO -경기 -선수 -토토 -대출 -급전 -배팅 -카지노 -19금 -쿠팡 -알리 -할인 -쿠폰"
